date,end_date,event_name,event_type,venue,address,city,county,state,audience,tabling_confirmed,tabling_details,cost,contact_name,contact_email,contact_phone,registration_url,source_url,date_found,territory_status,notes
2026-08-27,,Senior Connections @ Barefoot Event Center,senior day,Barefoot Event Center,1214 East Lee St,Linn,Osage,MO,Seniors 60+,implied,"Resource/services tables 10:30am-1pm; orgs including Osage County Health Dept and Aging Best participate. Contact organizers to request a table.","$5 suggested contribution 60+ / $7 under 60 (meal only); vendor cost unknown",,,(573) 897-2951,https://www.mrrl.org/event/senior-connections-barefoot-event-center-52712,https://www.newstribune.com/news/2026/jun/26/10k-grant-supports-senior-center-on-wheels/,2026-06-28,confirmed,"Recurring 4th Thursday monthly. Same program as July 23 date."
2026-09-05,,MU Extension Cole County Fall Festival,craft fair,Jefferson City Jaycees Fairgrounds,1445 Fairgrounds Road,Jefferson City,Cole,MO,"General community; craft festivals attract strong 55+ attendance",yes,"~140 vendor booths for crafts and products; call (573) 634-2824 for pricing.","Unknown; call (573) 634-2824",,,573-634-2824,https://www.facebook.com/MUExtColeCoExtFallFestival/,https://www.visitjeffersoncity.com/event/mu-extension-in-cole-county-fall-festival/682/,2026-06-28,confirmed,"Annual one-day craft show by MU Extension Cole County Council. Gate $3 (under 12 free). 2026 date estimated first Sat September (2024: Sept 7; 2025: Sept 6). Confirm before applying."
2026-09-08,2026-09-12,Saline County Fair,fair,Saline County Fairgrounds,2702 S. Hwy 65,Marshall,Saline,MO,"General public / all ages; county fair draws strong senior attendance",implied,"Vendor/sponsor booth opportunities on official site; contact MU Extension Saline County for rental and vendor details.","Unknown; contact fairgrounds",,salineco@missouri.edu,660-886-6908,https://www.salinecountymofairgrounds.org/,https://www.salinecountymofairgrounds.org/2020-4-h-program-book,2026-06-28,verify,"Sept 8-12 2026 confirmed. Sponsorship listed on site. Also referenced at kmmo.com."
2026-09-11,,Senior Connections @ Osage County Library (Aging Best Mobile Meals),senior day,Osage County Library (Missouri River Regional Library),101 Highway CC,Linn,Osage,MO,Seniors 60+,implied,"Community resource info tables present; orgs incl. Osage Co. Health Dept and Central MO Community Action. Contact organizers for table spot.","$5 suggested contribution 60+ / $7 under 60 (meal only); vendor cost unknown",,,(573) 897-2951,https://www.mrrl.org/event/senior-connections-meals-seniors-osage-branch-50813,https://www.newstribune.com/news/2026/jun/26/10k-grant-supports-senior-center-on-wheels/,2026-06-28,confirmed,"2nd Thursday monthly at library branch. Aging Best On the Move provides hot/cold meals. Bingo; blood pressure checks; vision screenings. Program launched 2026."
2026-09-19,2026-09-20,Annual Heritage Festival and Craft Show,festival,Nifong Park,2900 E. Nifong Blvd,Columbia,Boone,MO,"General community including seniors; free admission; 70+ craft and artisan vendors",yes,"Contemporary handmade craft vendor area with 70+ vendors; contact Columbia Parks & Recreation for 2026 vendor application.","Not listed; contact Parks & Recreation",Columbia Parks and Recreation,,573-874-7460,https://www.como.gov/parks-and-recreation/special-events/annual-heritage-festival-craft-show/,https://festivalnet.com/40477/Columbia-Missouri/Festivals/Heritage-Festival,2026-06-28,confirmed,"Free admission Sept 19-20 10am-5pm. Live entertainment on two stages; 19th-century artisan demos. Confirmed at como.gov and visitmo.com."
2026-09-19,,Ozark Ham & Turkey Festival,festival,Downtown California - Historic Courthouse Square,Downtown California MO,California,Moniteau,MO,"General public; community festival drawing thousands including large senior population",yes,"Vendor booths in three categories: Crafters; Commercial; Food. Online or printable application via California Area Chamber of Commerce.",Contact chamber for booth pricing,California Area Chamber of Commerce,chamber@calmo.com,573-796-3040,https://www.calmo.com/ham-turkey-festival,https://www.calmo.com/ham-turkey-festival,2026-06-28,confirmed,"Held 3rd Saturday of September (Sept 19 2026). BBQ contest; car show; crafts; 5K walk/run; parade with 100+ entries; 3 stages entertainment. 32nd annual."
2026-09-19,,Walk to End Alzheimer's - Sedalia MO 2026,health walk,State Fair Community College,3201 W 16th St,Sedalia,Pettis,MO,"Alzheimer's community; caregivers; seniors; strong 65+ skew",yes,"Sponsorship open for 2026; sponsors receive brand visibility and community alignment. Contact local chapter for sponsorship packet and booth details.",Contact chapter,Anthony Burt,aburt@alz.org,314-852-1170,https://act.alz.org/site/TR/Walk?px=18718&pg=personal&fr_id=18718,https://act.alz.org/site/TR/Walk?px=18718&pg=personal&fr_id=18718,2026-06-28,verify,"Sept 19 2026 confirmed via alz.org event page. Registration 9am; ceremony 10am; walk 10:20am. Greater MO Chapter: 314-432-3422."
2026-09-20,,New Bloomfield Fall Craft and Vendor Fair,craft fair,New Bloomfield (Lions Club venue),,New Bloomfield,Callaway,MO,"General community; Lions Club events attract 55+ attendees",yes,"Vendor booths available; free admission for attendees.",Contact Lions Club,New Bloomfield Lions Club,,,https://tockify.com/callaway.county.events/detail/85/1758376800000,https://tockify.com/callaway.county.events/detail/85/1758376800000,2026-06-28,confirmed,"Sept 20 2026 9am-3pm CDT. Inaugural event. Listed on official Callaway County Events calendar."
2026-09-24,,Senior Connections @ Barefoot Event Center,senior day,Barefoot Event Center,1214 East Lee St,Linn,Osage,MO,Seniors 60+,implied,"Resource/services tables 10:30am-1pm; orgs including Osage County Health Dept and Aging Best participate. Contact organizers to request a table.","$5 suggested contribution 60+ / $7 under 60 (meal only); vendor cost unknown",,,(573) 897-2951,https://www.mrrl.org/event/senior-connections-barefoot-event-center-52712,https://www.newstribune.com/news/2026/jun/26/10k-grant-supports-senior-center-on-wheels/,2026-06-28,confirmed,"Recurring 4th Thursday monthly. Same program as July 23 and Aug 27 dates."
2026-10-08,,Senior Connections @ Osage County Library (Aging Best Mobile Meals),senior day,Osage County Library (Missouri River Regional Library),101 Highway CC,Linn,Osage,MO,Seniors 60+,implied,"Community resource info tables present; orgs incl. Osage Co. Health Dept and Central MO Community Action. Contact organizers for table spot.","$5 suggested contribution 60+ / $7 under 60 (meal only); vendor cost unknown",,,(573) 897-2951,https://www.mrrl.org/event/senior-connections-meals-seniors-osage-branch-50813,https://www.newstribune.com/news/2026/jun/26/10k-grant-supports-senior-center-on-wheels/,2026-06-28,confirmed,"2nd Thursday monthly at library branch. Aging Best On the Move provides hot/cold meals. October 2026 occurrence within run window."
2026-10-10,,Walk to End Alzheimer's - Jefferson City MO 2026,health walk,Dwight T. Reed Stadium at Lincoln University,,Jefferson City,Cole,MO,"Alzheimer's community; caregivers; seniors; strong 65+ skew",yes,"Sponsorship packages available; contact Laurie Williams for sponsor booth and registration details.",Contact chapter,Laurie Williams,lawilliams@alz.org,573-397-7578,https://act.alz.org/site/TR/Walk2026/MO-GreaterMissouri?pg=entry&fr_id=19731,https://act.alz.org/site/TR/Walk2026/MO-GreaterMissouri?pg=entry&fr_id=19731,2026-06-28,confirmed,"Oct 10 2026 confirmed via alz.org/jcwalk. Venue: Dwight T. Reed Stadium at Lincoln University. Greater MO Chapter: 314-432-3422."
2026-10-10,2026-10-12,Cole Camp Fair,fair,Cole Camp (downtown / fairgrounds),,Cole Camp,Benton,MO,"General community; annual fall fair with parade; carnival rides; car show; 5K walk/run; draws significant 65+ attendance",implied,"Food and commercial vendors at fair. Contact Cole Camp Chamber of Commerce for 2026 vendor application.",Contact chamber,Cole Camp Chamber of Commerce,,,https://www.colecampmo.com/calendarevents.html,https://www.colecampmo.com/calendarevents.html,2026-06-28,verify,"Oct 10-12 2026 confirmed via colecampmo.com. Annual event; known for parade floats; carnival; contests. Benton County is a verify boundary county — confirm territory before placing broker."
2026-10-17,,Walk to End Alzheimer's - Columbia MO 2026,health walk,,,Columbia,Boone,MO,"Alzheimer's community; caregivers; seniors; strong 65+ skew",yes,"Sponsorship packages available; contact Greater Missouri Chapter for sponsor booth details.",Contact chapter,,,314-432-3422,https://alz.org/comowalk,https://alz.org/comowalk,2026-06-28,confirmed,"Oct 17 2026 confirmed via alz.org/comowalk. Venue TBD — check event page closer to date. Past sponsors include Cedarhurst Senior Living. Greater MO Chapter: 314-432-3422."
2026-10-22,,Senior Connections @ Barefoot Event Center,senior day,Barefoot Event Center,1214 East Lee St,Linn,Osage,MO,Seniors 60+,implied,"Resource/services tables 10:30am-1pm; orgs including Osage County Health Dept and Aging Best participate. Contact organizers to request a table.","$5 suggested contribution 60+ / $7 under 60 (meal only); vendor cost unknown",,,(573) 897-2951,https://www.mrrl.org/event/senior-connections-barefoot-event-center-52712,https://www.newstribune.com/news/2026/jun/26/10k-grant-supports-senior-center-on-wheels/,2026-06-28,confirmed,"Recurring 4th Thursday monthly. October 2026 occurrence within run window. Same program as July 23; Aug 27; Sept 24 dates."
