date,end_date,event_name,event_type,venue,address,city,county,state,audience,tabling_confirmed,tabling_details,cost,contact_name,contact_email,contact_phone,registration_url,source_url,date_found,notes
2026-08-19,,Arnold Senior Expo,expo,Meramec Arnold Eagles Aerie 3678 Club Hall,1725 Jeffco Blvd,Arnold,Jefferson,MO,"Adults 50+; seniors; caregivers",yes,"~50 vendor booths; businesses/organizations with products/services for 50+ contact 636-931-7560 or ads@myleaderpaper.com to reserve space","Contact organizer",Leader Publications,ads@myleaderpaper.com,636-931-7560,https://www.myleaderpaper.com/seniorexpo/,https://www.myleaderpaper.com/local-events/?_evDiscoveryPath=/event/2175702-arnold-senior-expo,2026-06-28,"Annual Leader Publications Senior Expo series. 2026 date Aug 19 per myleaderpaper.com/seniorexpo/. Runs 8am–noon; free admission 50+. ~1,000 attendees; bingo; live music; speakers; prizes."
2026-08-21,2026-08-23,Festival of the Little Hills,festival,Historic Main Street and Frontier Park,500 S Riverside Dr,St. Charles,St. Charles,MO,"General public; 300+ craft vendors; large family and senior crowd; regional draw",yes,"300+ arts & crafts vendor booths; craft booth apps closed Jan 31 2026 (late deadline Feb 14); non-profit food booth apps were due May 31 — confirm if spots remain","Contact organizer; craft apps likely closed",,food@festivalofthelittlehills.com,,https://www.festivalofthelittlehills.com/vendorapplications,https://www.festivalofthelittlehills.com/2026festivaldetails,2026-06-28,"Fri Aug 21 4–10pm; Sat Aug 22 9am–10pm; Sun Aug 23 9am–4pm. 50+ years running. 50+ non-profit food booths. 300+ craft booths. Ph: 636-441-6880. Confirm eligibility for Medicare/insurance vendor or explore sponsorship."
2026-09-01,,2026 Metro St. Louis Heart Walk,health walk,Westport Plaza,111 West Port Plaza Dr,Maryland Heights,St. Louis,MO,"General public; heart disease/stroke survivors; all ages; seniors are significant portion",implied,"Corporate sponsor booths and team tents standard at AHA Heart Walks; contact AHA St. Louis for sponsorship/vendor booth details","Contact AHA for sponsorship tiers",,,,http://metrostlouisheartwalk.org/,https://www2.heart.org/site/TR/HeartWalk/MWA-MidWestAffiliate?pg=entry&fr_id=11398,2026-06-28,"2026 date not yet confirmed; event historically held in September at Westport Plaza starting 8:30am. AHA Missouri: 314-962-5635. Sponsorship standard at AHA Heart Walks."
2026-09-11,2026-09-12,Bikers on the Square for Veterans,civic,Downtown Square,22 N Jackson St,Perryville,Perry,MO,"Motorcycle enthusiasts and veterans community; older veteran demographic; broad community attendance",yes,"Vendor and sponsorship opportunities confirmed; contact Robynne Kirchner at 573-768-2101 for vendor/sponsor details","unknown",Robynne Kirchner,,573-768-2101,https://www.missourivietnamwallrun.org,https://www.downtownperryvillemo.com/events/bikers-on-the-square-for-veterans,2026-06-28,"Annual event supporting veterans; proceeds benefit veterans causes. 2-day festival: bikes; live music; food. Older veteran demographic aligns with Medicare-eligible audience. Also at perrycountymo.us/Calendar.aspx?EID=519"
2026-09-12,2026-09-13,Ste. Genevieve Oktoberfest,festival,Downtown Ste. Genevieve,,Ste. Genevieve,Ste. Genevieve,MO,"General public celebrating German heritage; community event with broad senior appeal; beer garden; German food; live music",implied,"Food vendors and beer garden vendors; sponsor/vendor opportunities not explicitly listed for 2026 — contact via Facebook or official site","Not listed",,,,https://www.facebook.com/SGOktoberfest,https://oktoberfestmo.com/,2026-06-28,"2026 dates confirmed Sept 12–13. Traditional German food; beer garden; live local music; German-themed games. Contact: facebook.com/SGOktoberfest."
2026-09-18,2026-09-20,64th Annual Kirkwood Greentree Festival,festival,Kirkwood Park,111 S. Geyer Road,Kirkwood,St. Louis,MO,"General community; all ages; draws large family and senior audience from Kirkwood and greater St. Louis County",yes,"Non-Profit Information Booth category available; sponsor packages — download 2026 Sponsorship Packet from kirkwoodmo.org. Confirm current availability.","unknown",Kyle Henke,henkekk@kirkwoodmo.org,314-822-5855,https://www.kirkwoodmo.org/recreation/greentree-festival/application-registration-forms,https://www.kirkwoodmo.org/recreation/greentree-festival,2026-06-28,"Fri Sept 18–Sun Sept 20. Free admission. Parade; live music; arts/crafts; dog show; classic car show; book fair; wine garden; folklife artisans; KIDZONE 11:30am–4pm."
2026-09-18,2026-09-19,"Blues, Brews & BBQ Festival",festival,Historic Downtown Farmington / Columbia Street,Columbia Street,Farmington,St. Francois,MO,"General community; downtown street festival draws broad ages including seniors; artisan vendor market component",yes,"Artisan/craft vendor booths and food vendor applications confirmed; food vendor app via JotForm; contact Discover Farmington for non-food vendor application","unknown",,,,https://discoverfarmingtonmo.com/upcoming-events/blues-brews-bbq/,https://discoverfarmingtonmo.com/upcoming-events/blues-brews-bbq/,2026-06-28,"Fri Sept 18 5–10:30pm; Sat Sept 19 11am–11pm. Live blues music; craft beer; sanctioned BBQ competition; VW car show; artisan vendors; food trucks; kids area."
2026-09-18,2026-09-20,Saint Louis Art Fair Presented by Emerson,festival,Downtown Clayton Streets,"Downtown Clayton (Forsyth & Brentwood area)",Clayton,St. Louis,MO,"General public; broad age range including seniors 55+; 130,000+ attendees annually",implied,"Corporate and business sponsorship packages at multiple tiers; 20+ non-profit arts organizations participate with earned-income booth opportunities; contact Cultural Festivals Inc.","Contact for 2026 sponsor/partner application",Cultural Festivals Inc.,,,https://www.saintlouisartfair.com/get-involved/sponsors.html,https://www.saintlouisartfair.com/,2026-06-28,"33rd annual. Fri Sept 18 5–10pm; Sat Sept 19 10am–9pm; Sun Sept 20 11am–5pm. Free admission. 190 juried artists; live performing arts. 130,000+ annual attendees."
2026-09-19,,2026 Walk to End Alzheimer's – Washington Area MO,health walk,TBD – Washington MO area,,Washington,Franklin,MO,"Alzheimer's caregivers; families; supporters; skews 55+/senior; community-wide",implied,"Alzheimer's Association offers corporate sponsorship packages for Walk events; companies can sponsor and set up presence on walk day; contact Greater Missouri Chapter","Contact Greater Missouri Chapter for sponsorship tiers",Alzheimer's Association Greater Missouri Chapter,,314-432-3422,https://act.alz.org/site/TR?fr_id=19744&pg=entry,https://act.alz.org/site/TR?fr_id=19744&pg=entry,2026-06-28,"Covers Franklin; Gasconade; and Crawford counties. Date confirmed Sept 19 2026. Exact venue within Washington MO not yet published. Strong Medicare-eligible audience."
2026-09-19,,Warrenton Annual Fall Festival 2026,festival,Downtown Warrenton (city streets),200 West Booneslick,Warrenton,Warren,MO,"General public including seniors; thousands of visitors; mixed all-ages community event",yes,"Vendor booths 15'x15'; first-come first-served; mail payment/form to Warrenton Fall Festival 200 West Booneslick Warrenton MO 63383 or email Jon Struckhoff (subject 'Fall Festival 2026')","Contact organizer for 2026 pricing",Jon Struckhoff,,,,https://www.warrenton-mo.org/events/fall-festival-featuring-marshall-tucker-band/,2026-06-28,"Runs 12pm–9:30pm. 2026 headliner: The Marshall Tucker Band. Car & motorcycle show; kids korner; food trucks; variety of vendor booths. Free shuttle from Black Hawk Middle School."
2026-09-19,,Next-Level Health and Wellness Expo,health fair,The Steel Shop,49 Lawrence Street,St. Charles,St. Charles,MO,"Health-conscious adults including seniors; thousands of regional attendees seeking health solutions",yes,"Vendor booths available; spots limited; vendors connect directly with engaged attendees; contact organizer for booth pricing","unknown",,,,https://festivalnet.com/101530/Saint-Charles-Missouri/Lifestyle-Healthy-Living-Events/Next-Level-Health-and-Wellness-Expo,https://festivalnet.com/101530/Saint-Charles-Missouri/Lifestyle-Healthy-Living-Events/Next-Level-Health-and-Wellness-Expo,2026-06-28,"Sat Sept 19 9am–7pm. Admission $7–$10. Wellness zones; fitness demos; holistic practitioners; preventative care resources; curated marketplace; speakers; kid zone; pet zone. Vendor spots limited — inquire early."
2026-09-19,,The Bonne Terre Harvest Fair,festival,Private event venue / farm property,7027 Stormy Ln,Bonne Terre,St. Francois,MO,"General community; harvest fair draws families and older adults; local flavors and crafts",yes,"Vendor booths confirmed per Eventbrite listing; event runs noon–8pm (doors 11:30am); free parking","unknown",,,,https://www.eventbrite.com/e/the-bonne-terre-harvest-fair-tickets-1990025422609,https://www.eventbrite.com/e/the-bonne-terre-harvest-fair-tickets-1990025422609,2026-06-28,"Sat Sept 19 noon–8pm. Local flavors; live music; crafts; vendor booths. Contact via Eventbrite or Bonne Terre Chamber (bonneterrechamber.net)."
2026-09-20,,Saint Charles Fair,fair,Blanchette Park,,St. Charles,St. Charles,MO,"General public; families; seniors; community fair with broad St. Charles attendance",unknown,"City-hosted community fair; vendor/sponsor details not yet published; contact City of St. Charles for vendor opportunities","unknown",,,,https://www.stcharlescitymo.gov/1360/Saint-Charles-Fair,https://www.stcharlescitymo.gov/1360/Saint-Charles-Fair,2026-06-28,"Sun Sept 20 11am–5pm. Carnival games; face painting; balloon animals; live music; contests. Check stcharlescitymo.gov or contact city parks/events department for vendor info."
2026-09-25,,Rock Hill Annual Senior Health Fair,health fair,Rock Hill Community Center (likely),,Rock Hill,St. Louis,MO,"Seniors and older adults",yes,"Vendors needed per Rock Hill Parks and Recreation Facebook post; contact Parks and Recreation for vendor application","unknown",,knieman@rockhillmo.net,314-561-4304,,https://www.facebook.com/rockhillprt/posts/-vendors-needed-our-annual-senior-health-fair-will-take-place-on-september-25-an/766378499248657/,2026-06-28,"Annual event per Parks & Rec Facebook post. Confirm 2026 date and vendor signup directly with Rock Hill Parks and Recreation (knieman@rockhillmo.net)."
